Order ID	Order Date	Customer	Segment	Region	SKU	Product	Product Line	Category	Qty	Unit Price	Unit Cost	Total Revenue	Total Cost
100012	2024-02-22	Northwind Traders	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	50	$807.50	$310.00	"$40,375.00"	"$15,500.00"
100013	2024-02-22	Boulder Innovations	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	20	"$1,250.00"	$455.00	"$25,000.00"	"$9,100.00"
100014	2024-03-12	Northwind Traders	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	30	$850.00	$310.00	"$25,500.00"	"$9,300.00"
100015	2024-03-13	"VanArsdel, Ltd."	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	50	$331.55	$115.00	"$16,577.50"	"$5,750.00"
100016	2024-03-13	"Contoso, Ltd."	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	75	$331.55	$115.00	"$24,866.25"	"$8,625.00"
100017	2024-03-14	Wide World Importers	B2B	Central	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	15	"$1,250.00"	$455.00	"$18,750.00"	"$6,825.00"
100018	2024-03-15	Trey Research	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	15	"$1,250.00"	$455.00	"$18,750.00"	"$6,825.00"
100019	2024-03-15	Boulder Innovations	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	10	"$1,250.00"	$455.00	"$12,500.00"	"$4,550.00"
100020	2024-03-16	Boulder Innovations	B2B	West	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	50	$807.50	$310.00	"$40,375.00"	"$15,500.00"
100021	2024-03-19	"Fabrikam, Inc."	B2B	East	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	75	$807.50	$310.00	"$60,562.50"	"$23,250.00"
100022	2024-03-21	Wide World Importers	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	75	$807.50	$310.00	"$60,562.50"	"$23,250.00"
100023	2024-03-22	"Contoso, Ltd."	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	150	$314.10	$115.00	"$47,115.00"	"$17,250.00"
100024	2024-04-01	Boulder Innovations	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	25	"$1,250.00"	$455.00	"$31,250.00"	"$11,375.00"
100025	2024-04-04	Trey Research	B2B	West	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	5	$850.00	$310.00	"$4,250.00"	"$1,550.00"
100026	2024-04-05	Wide World Importers	B2B	Central	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	30	"$1,250.00"	$455.00	"$37,500.00"	"$13,650.00"
100027	2024-04-14	"Fabrikam, Inc."	B2B	East	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	45	$850.00	$310.00	"$38,250.00"	"$13,950.00"
100028	2024-04-20	Northwind Traders	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	20	$850.00	$310.00	"$17,000.00"	"$6,200.00"
100029	2024-05-01	Northwind Traders	B2B	Central	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	30	"$1,250.00"	$455.00	"$37,500.00"	"$13,650.00"
100030	2024-05-08	Boulder Innovations	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	20	"$1,250.00"	$455.00	"$25,000.00"	"$9,100.00"
100031	2024-05-17	"Contoso, Ltd."	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	225	$314.10	$115.00	"$70,672.50"	"$25,875.00"
100032	2024-05-19	Northwind Traders	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	50	$807.50	$310.00	"$40,375.00"	"$15,500.00"
100033	2024-05-20	Adventure Works Cycles	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	150	$314.10	$115.00	"$47,115.00"	"$17,250.00"
100034	2024-05-21	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	75	$331.55	$115.00	"$24,866.25"	"$8,625.00"
100035	2024-05-25	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	25	$349.00	$115.00	"$8,725.00"	"$2,875.00"
100036	2024-05-28	Relecloud	B2B	West	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	40	$850.00	$310.00	"$34,000.00"	"$12,400.00"
100051	2024-06-05	"Fabrikam, Inc."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	60	$122.55	$39.00	"$7,353.00"	"$2,340.00"
100054	2024-06-06	Adatum Corporation	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	200	$116.10	$39.00	"$23,220.00"	"$7,800.00"
100063	2024-06-09	Bellows College	B2B	East	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	100	$71.10	$25.00	"$7,110.00"	"$2,500.00"
100064	2024-06-10	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	100	$314.10	$115.00	"$31,410.00"	"$11,500.00"
100071	2024-06-12	"VanArsdel, Ltd."	B2B	East	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	20	$89.00	$28.00	"$1,780.00"	$560.00
100072	2024-06-12	Wide World Importers	B2B	Central	ZCR-FBR-NAN	ZavaCore Fiber — Nano Grade	Supply	Raw Materials	150	"$2,160.00"	$880.00	"$324,000.00"	"$132,000.00"
100075	2024-06-13	Wide World Importers	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	300	$134.10	$45.00	"$40,230.00"	"$13,500.00"
100077	2024-06-14	Boulder Innovations	B2B	West	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	75	$236.55	$82.00	"$17,741.25"	"$6,150.00"
100093	2024-06-19	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	100	$134.10	$45.00	"$13,410.00"	"$4,500.00"
100109	2024-06-25	Wide World Importers	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	225	$134.10	$45.00	"$30,172.50"	"$10,125.00"
100110	2024-06-25	Alpine Ski House	B2B	West	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	100	$224.10	$82.00	"$22,410.00"	"$8,200.00"
100132	2024-07-03	Trey Research	B2B	West	ZCR-DEV-01	ZavaCore Developer Kit	Supply	Dev Tools	25	$499.00	$165.00	"$12,475.00"	"$4,125.00"
100135	2024-07-04	Boulder Innovations	B2B	West	ZCR-FBR-NAN	ZavaCore Fiber — Nano Grade	Supply	Raw Materials	5	"$2,400.00"	$880.00	"$12,000.00"	"$4,400.00"
100137	2024-07-05	"Fabrikam, Inc."	B2B	East	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	150	$80.10	$28.00	"$12,015.00"	"$4,200.00"
100143	2024-07-09	Alpine Ski House	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	20	$79.00	$25.00	"$1,580.00"	$500.00
100146	2024-07-10	Northwind Traders	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	20	$79.00	$25.00	"$1,580.00"	$500.00
100149	2024-07-12	Northwind Traders	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	20	$850.00	$310.00	"$17,000.00"	"$6,200.00"
100159	2024-07-14	"VanArsdel, Ltd."	B2B	East	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	20	$89.00	$28.00	"$1,780.00"	$560.00
100182	2024-07-21	Bellows College	B2B	East	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	50	$236.55	$82.00	"$11,827.50"	"$4,100.00"
100194	2024-07-25	Alpine Ski House	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	50	$75.05	$25.00	"$3,752.50"	"$1,250.00"
100197	2024-07-26	"Fabrikam, Inc."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	30	$129.00	$39.00	"$3,870.00"	"$1,170.00"
100209	2024-07-31	Consolidated Messenger	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	25	$149.00	$45.00	"$3,725.00"	"$1,125.00"
100210	2024-07-31	Northwind Traders	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	50	$75.05	$25.00	"$3,752.50"	"$1,250.00"
100230	2024-08-06	Northwind Traders	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	150	$71.10	$25.00	"$10,665.00"	"$3,750.00"
100231	2024-08-06	Alpine Ski House	B2B	West	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	100	$134.10	$45.00	"$13,410.00"	"$4,500.00"
100242	2024-08-12	Boulder Innovations	B2B	West	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	50	$122.55	$39.00	"$6,127.50"	"$1,950.00"
100259	2024-08-17	"Contoso, Ltd."	B2B	West	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	30	$129.00	$39.00	"$3,870.00"	"$1,170.00"
100268	2024-08-20	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	100	$314.10	$115.00	"$31,410.00"	"$11,500.00"
100273	2024-08-21	"VanArsdel, Ltd."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	200	$116.10	$39.00	"$23,220.00"	"$7,800.00"
100292	2024-08-27	"Contoso, Ltd."	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	225	$71.10	$25.00	"$15,997.50"	"$5,625.00"
100297	2024-08-29	Bellows College	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	10	$129.00	$39.00	"$1,290.00"	$390.00
100316	2024-09-04	Relecloud	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	40	$169.00	$52.00	"$6,760.00"	"$2,080.00"
100325	2024-09-07	Bellows College	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	50	$141.55	$45.00	"$7,077.50"	"$2,250.00"
100330	2024-09-08	Bellows College	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	75	$160.55	$52.00	"$12,041.25"	"$3,900.00"
100341	2024-09-11	Alpine Ski House	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	150	$152.10	$52.00	"$22,815.00"	"$7,800.00"
100353	2024-09-16	Relecloud	B2B	West	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	100	$161.10	$58.00	"$16,110.00"	"$5,800.00"
100362	2024-09-18	"Contoso, Ltd."	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	75	$75.05	$25.00	"$5,628.75"	"$1,875.00"
100363	2024-09-18	Adatum Corporation	B2B	East	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	100	$161.10	$58.00	"$16,110.00"	"$5,800.00"
100373	2024-09-21	Adventure Works Cycles	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	300	$71.10	$25.00	"$21,330.00"	"$7,500.00"
100374	2024-09-21	Consolidated Messenger	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	100	$134.10	$45.00	"$13,410.00"	"$4,500.00"
100388	2024-09-24	Northwind Traders	B2B	Central	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	200	$107.10	$38.00	"$21,420.00"	"$7,600.00"
100389	2024-09-24	"Contoso, Ltd."	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	30	$79.00	$25.00	"$2,370.00"	$750.00
100390	2024-09-25	Adatum Corporation	B2B	East	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	50	$113.05	$38.00	"$5,652.50"	"$1,900.00"
100396	2024-09-27	Alpine Ski House	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	100	$152.10	$52.00	"$15,210.00"	"$5,200.00"
100403	2024-09-30	Adatum Corporation	B2B	East	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	50	$113.05	$38.00	"$5,652.50"	"$1,900.00"
100406	2024-10-01	Boulder Innovations	B2B	West	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	100	$161.10	$58.00	"$16,110.00"	"$5,800.00"
100407	2024-10-01	Consolidated Messenger	B2B	Central	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	20	$249.00	$82.00	"$4,980.00"	"$1,640.00"
100409	2024-10-02	Bellows College	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	75	$160.55	$52.00	"$12,041.25"	"$3,900.00"
100420	2024-10-05	Adatum Corporation	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	50	$141.55	$45.00	"$7,077.50"	"$2,250.00"
100430	2024-10-09	Adatum Corporation	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	100	$116.10	$39.00	"$11,610.00"	"$3,900.00"
100431	2024-10-09	"Fabrikam, Inc."	B2B	East	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	300	$224.10	$82.00	"$67,230.00"	"$24,600.00"
100475	2024-10-21	Alpine Ski House	B2B	West	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	100	$161.10	$58.00	"$16,110.00"	"$5,800.00"
100488	2024-10-24	Adatum Corporation	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	50	$160.55	$52.00	"$8,027.50"	"$2,600.00"
100494	2024-10-25	"Contoso, Ltd."	B2B	West	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	60	$113.05	$38.00	"$6,783.00"	"$2,280.00"
100498	2024-10-26	Alpine Ski House	B2B	West	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	20	$249.00	$82.00	"$4,980.00"	"$1,640.00"
100499	2024-10-26	Wide World Importers	B2B	Central	ZCR-DEV-01	ZavaCore Developer Kit	Supply	Dev Tools	75	$474.05	$165.00	"$35,553.75"	"$12,375.00"
100515	2024-10-30	Northwind Traders	B2B	Central	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	20	$249.00	$82.00	"$4,980.00"	"$1,640.00"
100518	2024-10-31	Adventure Works Cycles	B2B	West	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	60	$236.55	$82.00	"$14,193.00"	"$4,920.00"
100519	2024-10-31	Wide World Importers	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	75	$75.05	$25.00	"$5,628.75"	"$1,875.00"
100533	2024-11-04	Relecloud	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	50	"$1,187.50"	$455.00	"$59,375.00"	"$22,750.00"
100536	2024-11-05	Relecloud	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	150	$152.10	$52.00	"$22,815.00"	"$7,800.00"
100537	2024-11-05	"Fabrikam, Inc."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	30	$129.00	$39.00	"$3,870.00"	"$1,170.00"
100544	2024-11-06	Bellows College	B2B	East	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	20	$79.00	$25.00	"$1,580.00"	$500.00
100548	2024-11-07	Adatum Corporation	B2B	East	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	40	$79.00	$25.00	"$3,160.00"	"$1,000.00"
100549	2024-11-07	Alpine Ski House	B2B	West	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	100	$71.10	$25.00	"$7,110.00"	"$2,500.00"
100554	2024-11-08	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	20	$149.00	$45.00	"$2,980.00"	$900.00
100560	2024-11-09	Trey Research	B2B	West	ZCR-DEV-01	ZavaCore Developer Kit	Supply	Dev Tools	5	$499.00	$165.00	"$2,495.00"	$825.00
100564	2024-11-10	"VanArsdel, Ltd."	B2B	East	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	20	$249.00	$82.00	"$4,980.00"	"$1,640.00"
100578	2024-11-13	Consolidated Messenger	B2B	Central	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	10	$249.00	$82.00	"$2,490.00"	$820.00
100589	2024-11-15	Adventure Works Cycles	B2B	West	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	30	$89.00	$28.00	"$2,670.00"	$840.00
100598	2024-11-17	Northwind Traders	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	100	$134.10	$45.00	"$13,410.00"	"$4,500.00"
100603	2024-11-18	Bellows College	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	100	$152.10	$52.00	"$15,210.00"	"$5,200.00"
100613	2024-11-20	Northwind Traders	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	40	$149.00	$45.00	"$5,960.00"	"$1,800.00"
100624	2024-11-22	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	40	$169.00	$52.00	"$6,760.00"	"$2,080.00"
100633	2024-11-24	Consolidated Messenger	B2B	Central	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	25	$129.00	$39.00	"$3,225.00"	$975.00
100646	2024-11-26	Consolidated Messenger	B2B	Central	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	75	$141.55	$45.00	"$10,616.25"	"$3,375.00"
100649	2024-11-27	Alpine Ski House	B2B	West	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	200	$80.10	$28.00	"$16,020.00"	"$5,600.00"
100657	2024-11-28	"VanArsdel, Ltd."	B2B	East	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	50	$84.55	$28.00	"$4,227.50"	"$1,400.00"
100670	2024-12-01	Alpine Ski House	B2B	West	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	200	$107.10	$38.00	"$21,420.00"	"$7,600.00"
100683	2024-12-04	Adventure Works Cycles	B2B	West	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	75	$113.05	$38.00	"$8,478.75"	"$2,850.00"
100697	2024-12-07	"VanArsdel, Ltd."	B2B	East	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	50	$84.55	$28.00	"$4,227.50"	"$1,400.00"
100703	2024-12-08	Consolidated Messenger	B2B	Central	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	20	$179.00	$58.00	"$3,580.00"	"$1,160.00"
100704	2024-12-08	Northwind Traders	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	100	$71.10	$25.00	"$7,110.00"	"$2,500.00"
100708	2024-12-09	Relecloud	B2B	West	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	100	$107.10	$38.00	"$10,710.00"	"$3,800.00"
100719	2024-12-11	Adatum Corporation	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	200	$134.10	$45.00	"$26,820.00"	"$9,000.00"
100720	2024-12-11	"Fabrikam, Inc."	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	225	$152.10	$52.00	"$34,222.50"	"$11,700.00"
100737	2024-12-14	"Contoso, Ltd."	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	225	$314.10	$115.00	"$70,672.50"	"$25,875.00"
100741	2024-12-15	Northwind Traders	B2B	Central	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	200	$80.10	$28.00	"$16,020.00"	"$5,600.00"
100745	2024-12-16	Trey Research	B2B	West	ZCR-FBR-NAN	ZavaCore Fiber — Nano Grade	Supply	Raw Materials	25	"$2,400.00"	$880.00	"$60,000.00"	"$22,000.00"
100759	2024-12-20	Adatum Corporation	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	40	$129.00	$39.00	"$5,160.00"	"$1,560.00"
100777	2024-12-24	Adatum Corporation	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	150	$116.10	$39.00	"$17,415.00"	"$5,850.00"
100786	2024-12-26	Wide World Importers	B2B	Central	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	30	$850.00	$310.00	"$25,500.00"	"$9,300.00"
100787	2024-12-26	Adatum Corporation	B2B	East	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	20	$119.00	$38.00	"$2,380.00"	$760.00
100798	2024-12-28	Northwind Traders	B2B	Central	ZCR-FBR-NAN	ZavaCore Fiber — Nano Grade	Supply	Raw Materials	40	"$2,400.00"	$880.00	"$96,000.00"	"$35,200.00"
100818	2025-01-02	Adventure Works Cycles	B2B	West	ZCA-SC-PRO	Smart Cleats Pro	Accessories	Footwear	75	$236.55	$82.00	"$17,741.25"	"$6,150.00"
100819	2025-01-02	"VanArsdel, Ltd."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	150	$116.10	$39.00	"$17,415.00"	"$5,850.00"
100826	2025-01-04	Relecloud	B2B	West	ZCF-EL-LST	Field Elite Long Sleeve Top	Field	Tops	150	$80.10	$28.00	"$12,015.00"	"$4,200.00"
100832	2025-01-05	Boulder Innovations	B2B	West	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	20	$179.00	$58.00	"$3,580.00"	"$1,160.00"
100833	2025-01-05	Adventure Works Cycles	B2B	West	ZCF-ST-LST	Field Standard Long Sleeve Top	Field	Tops	30	$59.00	$20.00	"$1,770.00"	$600.00
100842	2025-01-06	"VanArsdel, Ltd."	B2B	East	ZCA-INS-01	Smart Insole	Accessories	Footwear	20	$89.00	$28.00	"$1,780.00"	$560.00
100851	2025-01-08	Adatum Corporation	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	40	$169.00	$52.00	"$6,760.00"	"$2,080.00"
100860	2025-01-11	Wide World Importers	B2B	Central	ZCF-EL-SST	Field Elite Short Sleeve Top	Field	Tops	300	$71.10	$25.00	"$21,330.00"	"$7,500.00"
100870	2025-01-14	"Contoso, Ltd."	B2B	West	ZCA-INS-01	Smart Insole	Accessories	Footwear	60	$84.55	$28.00	"$5,073.00"	"$1,680.00"
100871	2025-01-14	"Contoso, Ltd."	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	60	$160.55	$52.00	"$9,633.00"	"$3,120.00"
100889	2025-01-17	Relecloud	B2B	West	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	50	$141.55	$45.00	"$7,077.50"	"$2,250.00"
100898	2025-01-19	"Contoso, Ltd."	B2B	West	ZCF-ST-SST	Field Standard Short Sleeve Top	Field	Tops	300	$44.10	$17.00	"$13,230.00"	"$5,100.00"
100903	2025-01-20	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LST	Field Premium Long Sleeve Top	Field	Tops	40	$149.00	$45.00	"$5,960.00"	"$1,800.00"
100915	2025-01-23	"VanArsdel, Ltd."	B2B	East	ZCF-PR-ETJ	Field Premium Extreme Temp Jacket	Field	Outerwear	150	$251.10	$88.00	"$37,665.00"	"$13,200.00"
100921	2025-01-24	Wide World Importers	B2B	Central	ZCF-ST-LST	Field Standard Long Sleeve Top	Field	Tops	75	$56.05	$20.00	"$4,203.75"	"$1,500.00"
100934	2025-01-26	Boulder Innovations	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	20	$169.00	$52.00	"$3,380.00"	"$1,040.00"
100938	2025-01-27	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	100	$152.10	$52.00	"$15,210.00"	"$5,200.00"
100946	2025-01-29	"VanArsdel, Ltd."	B2B	East	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	200	$152.10	$52.00	"$30,420.00"	"$10,400.00"
100955	2025-01-31	Wide World Importers	B2B	Central	ZCF-EL-LEG	Field Elite Performance Leggings	Field	Bottoms	225	$107.10	$38.00	"$24,097.50"	"$8,550.00"
100956	2025-01-31	"VanArsdel, Ltd."	B2B	East	ZCF-PR-SST	Field Premium Short Sleeve Top	Field	Tops	100	$116.10	$39.00	"$11,610.00"	"$3,900.00"
100962	2025-02-01	Boulder Innovations	B2B	West	ZCF-PR-LEG	Field Premium Performance Leggings	Field	Bottoms	10	$169.00	$52.00	"$1,690.00"	$520.00
100980	2025-02-05	Consolidated Messenger	B2B	Central	ZCA-SC-STD	Smart Cleats Standard	Accessories	Footwear	25	$179.00	$58.00	"$4,475.00"	"$1,450.00"
